year,month,산지,기온 평균,수온 평균,풍속 평균
2021,1,안흥,0.7,6.9,4.1
2021,2,안흥,2.8,5.2,4.2
2021,3,안흥,6.2,6.1,2.7
2021,4,안흥,11.1,8.7,2.8
2021,5,안흥,14.2,11.8,2.6
2021,6,안흥,19.4,16.3,1.8
2021,7,안흥,24.7,20.9,1.8
2021,8,안흥,24.7,23.6,2.2
2021,9,안흥,22.9,23.4,2.8
2021,10,안흥,17.8,21.6,2.9
2021,11,안흥,12.0,16.9,4.4
2021,12,안흥,,12.2,
2022,1,안흥,1.1,7.5,4.1
2022,2,안흥,0.7,4.9,4.2
2022,3,안흥,6.0,5.4,3.2
2022,4,안흥,10.4,8.5,2.6
2022,5,안흥,14.7,12.3,2.7
2022,6,안흥,20.0,16.9,2.5
2022,7,안흥,25.1,22.9,1.9
2022,8,안흥,25.5,25.5,2.1
2022,9,안흥,21.3,20.9,2.9
2022,10,안흥,15.3,,3.6
2022,11,안흥,11.9,15.1,3.1
2022,12,안흥,1.6,10.3,4.7
2023,1,안흥,1.3,6.7,4.0
2023,2,안흥,2.5,5.1,3.4
2023,3,안흥,6.4,6.0,3.1
2023,4,안흥,10.9,8.6,2.6
2023,5,안흥,15.6,12.2,2.0
2023,6,안흥,19.2,16.4,1.6
2023,7,안흥,24.4,22.2,2.1
2023,8,안흥,25.3,23.0,2.0
2023,9,안흥,22.9,22.3,2.0
2023,10,안흥,17.7,19.6,2.9
2023,11,안흥,10.1,16.1,4.5
2023,12,안흥,4.5,11.2,4.1
2024,1,안흥,2.5,7.8,3.9
2024,2,안흥,4.2,6.2,3.5
2024,3,안흥,6.2,6.7,3.4
2024,4,안흥,11.8,9.2,1.7
2024,5,안흥,14.8,12.7,2.2
2024,6,안흥,19.8,16.7,1.6
2024,7,안흥,25.0,22.7,2.2
2024,8,안흥,27.9,25.8,1.7
2024,9,안흥,25.3,25.0,2.1
2024,10,안흥,18.5,22.2,3.0
2024,11,안흥,12.7,18.4,4.0
2024,12,안흥,4.9,12.5,4.8
